dev,address,district,sale_price,description,detail,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year,bedrooms,bathrooms,internal_area,floors,towers,year_built,has_elevator,has_parking,has_security,has_cctv,has_pool,has_sauna,has_gym,has_garden_bbq,has_playground,has_shop_on_premise,has_restaurant_on_premise,has_wifi,city_train_distance,express_way_distance,close_city_train,close_express_way
Ceil by Sansiri,"Soi Charoen Chai, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,5150000.0,This apartment in Ekkamai 12 with 1 bedroom is available at the best price in Ceil by Sansiri condominium,"1-bedroom
1-bathroom
balcony
area: 47 sqm
mid-floor: 10 or higher
facing direction: West with unblocked greenery view
fully furnished: modern style
fully equipped kitchen
full set of electrical appliances: flat TV, refrigerator, washing machine, microwave
foreign freehold ownership quota is available for this apartment in Ekamai 12",131149.0,0.0,7.21,4.89,8.32,1.0,1.0,47.0,17.0,3.0,2013.0,1,1,1,1,1,0,1,1,0,0,0,1,1500.0,2200.0,0,0
Noble Recole,"77 Soi Sukhumvit 19, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,7500000.0,A new condo with a greenery view is available now for sale in Sukhumvit 19 in Bangkok.,"this condo is brand new - nobody lived so far
this condo features a very nice greenery view from a high floor
1-bedroom
1-bathroom
2 balconies
high floor: 20+
area: 34.65 sqm
facing direction: North
fully furnished
fully equipped kitchen
full set of electrical appliances
foreign freehold ownership quota",223054.0,0.0,0.06,3.81,1.43,1.0,1.0,34.65,28.0,1.0,2018.0,1,1,1,1,1,1,1,1,0,0,0,0,730.0,1800.0,1,0
Kallista Mansion,"64 Soi Chai Yot, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,35433491.0,"Kallista Mansion Bangkok's pet-friendly condo for sale in Sukhumvit 11 near the canal in Nana was built in 1995.
This Bangkok apartment in Nana in Sukhumvit 11 comprises a single building, having 84 larger flats on 34 floors.
Kallista Mansion is a pet-friendly condo for sale in Sukhumvit 11, Bangkok
Facilities at Kallista Mansion Bangkok condo for sale on Sukhumvit 11
Facilities of this Bangkok condominium include:","elevator
parking
24-hours security and 24/7 security guards and reception desk
key card with access to a specific floor
CCTV
swimming pool
gym room
garden/BBQ
playground/kids' area
sauna
WiFi in public areas",130159.0,15.85,18.84,1.91,-31.23,1.0,1.0,417.57,34.0,1.0,1997.0,1,1,1,1,1,1,1,0,0,0,0,1,910.0,940.0,1,1
LAVIQ Sukhumvit 57,"33/2 Soi Sukhumvit 57, Khwaeng Khlong Tan Nuea, Khet Watthana",Khlong Toei,14119443.0,"Laviq Sukhumvit 57 Thonglor luxury condo for sale in Bangkok was built by Real Asset Development in 2019.
This luxury Bangkok condo for sale near BTS Thong Lo comprises one building having 235 luxury apartments on 33 floors.
Apartment types","unit types: 1-3-bedroom
unit sizes: 43-115 sqm",266123.0,0.0,2.34,4.7,6.54,1.0,1.0,70.59,33.0,1.0,2019.0,1,1,1,1,1,1,1,1,1,1,1,1,380.0,2400.0,1,0
Supalai Premier @ Asoke,"Thanon Phetchaburi, Bang Kapi, Huai Khwang, Bangkok 10310",Watthana,8341709.0,"Supalai Premier @ Asoke condo for sale in Bangkok near University, MRT, and Airport Rail Link was developed by Supalai PCL in 2014
This high-rise apartment building comprises a single tower, having 635 apartments on 40 floors.
Apartment types","studio - 34 sqm
1-bedroom: 34 - 55 sqm
2-bedroom: 65 - 100 sqm
3-bedroom: 120 sqm",141051.0,-4.25,-4.96,3.75,2.08,1.0,1.0,87.12,38.0,1.0,2014.0,1,1,1,1,1,1,1,1,1,1,0,1,280.0,870.0,1,1
The Address Asoke,"Phetchaburi Road, Khwaeng Makkasan, Khet Ratchathewi",Watthana,6000000.0,This 1-bedroom condo on a high floor is available in The Address Asoke condominium with double facilities (2 gym rooms and 2 swimming pools):,"1-bedroom
1-bathroom
1 balcony
1 parking slot
35.81 sqm
high floor (20+)
facing West
nice and comfortable layout
jacuzzi in bathroom
fully furnished
build-in closet
fully equipped kitchen
washing machine
flat TV
microwave",156451.0,0.0,-0.38,4.48,5.99,1.0,1.0,35.81,44.0,1.0,2012.0,1,1,1,1,1,1,1,1,1,0,0,0,220.0,800.0,1,1
Siamese Exclusive Sukhumvit 31,"31-39 Soi Sukhumvit 31, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,15080292.0,"Siamese Exclusive Sukhumvit 31 luxury condo for sale in Bangkok was developed by Siamese Asset in 2019.
This Bangkok luxury condo for sale comprises a single building, having 193 units on 21 floors each. Project area   700 sq. wah (2,800 sqm). Parking lot: 162 Slots (Intelligent Parking 86 slots)","A perfect combination of luxury and nature converges seamlessly, through the concept of ""Living in the garden"" relay to the design of both interior and architecture by Somdoon Architectural.
With a retreat balcony with private terraces and porches bursting the residence with a greenery area where you can relax under the shade of trees that is filled with ivy canopies. Reflecting through architectural design with a series of colorful trees yet provision with a high-rise balcony to accommodate the growth of trees in the future.
Providing maximum privacy and security for our customers with an exclusive private lift accessing directly to your residence and intelligent parking that will perfectly accommodate the lifestyle of the new generation.
Apartment types:",201632.0,0.0,-3.28,4.49,3.71,1.0,1.0,106.11,21.0,1.0,2017.0,1,1,1,1,1,0,1,0,0,1,0,0,850.0,2200.0,1,0
Noble Refine,"Sukhumvit 26, Khlong Tan, Khlong Toei, Bangkok 10110",Khlong Toei,7000000.0,This small condo near BTS Prompong is available in a popular Noble Refine Sukhumvit 26 condominium in Bangkok CBD,"this Bangkok condo features higher ceilings
this small condo is well-maintained by the owner
1-bedroom
1-bathroom with bathtub
balcony
high floor: 25+
facing direction: east
fully furnished
fully equipped kitchen
electrical appliances
foreign freehold ownership quota is available",190137.0,0.0,-2.36,4.39,1.9,1.0,1.0,35.0,25.0,1.0,2012.0,1,1,1,1,1,1,1,1,1,0,0,1,300.0,2400.0,1,0
A Space I.D. Asoke - Ratchada,"Thanon Din Daeng, Din Daeng, Bangkok 10400",Ratchathewi,4088197.0,"A Space ID Asoke-Ratchada is an affordable condo located near MRT Rama 9.
A Space ID Asoke-Ratchada condo was built in 2016 by Areeya Property
The Complete Living Space with Innovative Mechanical Parking project was placed in Rama 9, within close proximity to Central Rama 9 trendy shopping mall, with convenient access to the MRT Subway.
Apartment types","Studio - 33 sqm
1-bedroom - 33-42 sqm
2-bedroom - 67 - 74 sqm",126979.0,0.0,11.06,4.16,4.51,1.0,1.0,54.73,30.0,1.0,2016.0,1,1,1,1,1,1,1,1,0,0,0,1,710.0,910.0,1,1
HQ by Sansiri,"Thong Lo 6, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,18155887.0,"HQ by Sansiri Thonglor luxury condo for sale in Bangkok on Sukhumvit 55 was built by Sansiri PCL in 2014.
This luxury  Bangkok condominium comprises a single building having 197 apartments on 36 floors. Project Area: 3,032 m2
Harmony Living in Thong Lo
Located in Sukhumvit soi 55, only 5 minutes drive from BTS Thong Lo, the location offers residents superior commuting convenience for both leisure and business.
Surrounded by the vibrant neighborhood of Little Tokyo, and a stone’s throw from Thong Lo, the development covers an array of amenities ranging from hospitals, International schools, supermarkets, and a variety of cafes and restaurants.
Landscaped especially for residents who wish to escape the buzz and bustle of city life, the development has put careful consideration into the selection of trees, plants, and other green elements featured in the development. The highlight of the pristine landscape is the common courtyard at the center of the development.
Apartment types",,246167.0,0.0,-2.52,4.28,3.41,1.0,1.0,135.36,36.0,1.0,2014.0,1,1,1,1,1,0,1,1,0,0,0,1,920.0,3200.0,1,0
Saranjai Mansion,"Sukhumvit Soi 6, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,5400000.0,This condo on Sukhumvit 6 with 1 bedroom is available on a low floor at Saranjai Mansion condominium near BTS Nana in Bangkok CBD,"1 bedroom
1 bathroom
balcony
area: 63 sqm
facing direction: North
car parking slot
fully furnished – classic style
fully equipped kitchen
full set of electrical appliances including flat TV, refrigerator, washing machine, and microwave
foreign freehold ownership quota is available",86923.0,0.0,7.11,4.35,-6.8,1.0,1.0,63.0,23.0,1.0,1992.0,1,1,1,1,1,0,1,0,0,1,0,0,270.0,820.0,1,1
Kallista Mansion,"64 Soi Chai Yot, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,35000000.0,A large luxury apartment for sale with a tenant is available now in Kallista Mansion Sukhumvit 11:,"luxury apartment: renovated and nicely furnished
large living room: with bar, dining area, and pool table
3-bedroom
4-bathroom
2 balconies of good size: in the living room and in the master bedroom
maids' quarter with a Thai kitchen, service area, separate toilet, and independent entrance
area: 315 sqm
mid-floor: 10+
separated kitchen: fully equipped
full set of electrical appliances
foreign freehold ownership quota is available",130159.0,15.85,18.84,1.91,-31.23,3.0,4.0,315.0,34.0,1.0,1997.0,1,1,1,1,1,1,1,0,0,0,0,1,910.0,940.0,1,1
Regent on the Park 1,"32 Soi Sukhumvit 26, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,22648558.0,"Regent on the Park 1 Sukhumvit 26 condo for sale in Bangkok is a high-rise apartment building located near BTS Phrom Phong and Emporium shopping mall.
Regent on the Park 1 Sukhumvit 26 condominium was constructed in 1992. It comprises a single building having 81 apartments on 34 floors.
Regent on the Park 1 is a pet-friendly condominium.
Apartment types","1-bedroom: 40 - 45 sqm
2-bedroom: 80-250 sqm
3-bedroom: 250-377 sqm",99280.0,0.0,8.99,3.02,26.9,1.0,1.0,287.49,34.0,1.0,1992.0,1,1,1,1,1,1,1,1,0,0,0,0,690.0,2100.0,1,0
The Address Asoke,"Phetchaburi Road, Khwaeng Makkasan, Khet Ratchathewi",Watthana,9900000.0,This condo in Asoke on a low floor is available now in The Address Asoke condominium near MRT Phetchaburi and Makkasan Airport Railink,"2-bedroom
2-bathroom
1 balcony
1 parking slot
65 sqm
Low floor (10-)
facing South
nice and comfortable layout
jacuzzi in bathroom
fully furnished
build-in closet
fully equipped kitchen
washing machine
flat TV
microwave
foreign freehold quota available",156451.0,0.0,-0.38,4.48,5.99,2.0,2.0,66.0,44.0,1.0,2012.0,1,1,1,1,1,1,1,1,1,0,0,0,220.0,800.0,1,1
Q Asoke,"1638/1 Phetchaburi Rd, Khwaeng Makkasan, Khet Ratchathewi",Watthana,5800000.0,A flat for sale near MRT Phetchaburi is available on a high floor at Q Asoke Bangkok luxury condominium,"1-bedroom
1-bathroom
balcony
high-floor: 20+ with unblocked city view
car parking slot
open fully equipped kitchen
fully furnished: modern style
full set of electrical appliances: flat TV, refrigerator, washing machine, microwave
foreign freehold quota is available for this Bangkok apartment",202758.0,0.0,0.46,3.73,-6.38,1.0,1.0,37.0,41.0,1.0,2015.0,1,1,1,1,1,1,1,1,0,0,1,1,98.0,710.0,1,1
Baan Prida,"4 Soi Sukhumvit 8, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,16600000.0,"Baan Prida Sukhumvit 8 Bangkok condo for sale near Nana BTS is located in a quiet area in a charming building.
There are only 19 apartments in this pet-friendly residence in Bangkok.
Baan Prida Bangkok condo for sale is a pet-friendly building.
This Bangkok pet-friendly apartment in Bangkok in Sukhumvit Soi 8 features a very good location just near Nana BTS station. It is located only 1 km from Bumrungrad International Hospital - one of the best hospitals in Thailand. Many good food stores (Foodland 24/7 Supermarket and Villa Market) are located in the very close proximity
Room type & Room size
Apartments in Baan Prida Bangkok condominium feature bigger sizes:","Apartment types: 2 - 4-bedroom
Apartment sizes: 170 - 480 sqm",100484.0,0.0,0.56,3.06,-11.72,1.0,1.0,166.72,14.0,1.0,1986.0,1,1,1,1,1,0,1,0,0,0,0,1,240.0,930.0,1,1
Wattana Suite,"Soi Ruam Chai, Khlong Tan Nuea, Vadhana, Bangkok 10110",Watthana,23000000.0,"This 3-bedroom condo in Asoke is a penthouse and it's available now. This apartment features a large area (236 sqm). The flat is equipped with wall lighting to control lighting, air-con, and a music system. The bathroom has Jacuzzi.","3-bedroom
3-bathroom
2 fixed parking slots
2 balconies: 1 - in the living room, and 1 - in the master bedroom
maid's quarter with toilet
facing North
236 sqm
fully furnished
Separated kitchen - fully equipped
all electrical appliances including TV, refrigerator, washing machine, dryer, and microwave
foreign freehold ownership quota available",95901.0,0.0,4.97,4.58,-3.94,3.0,3.0,236.0,8.0,1.0,2004.0,1,1,1,1,1,1,1,0,0,0,0,0,910.0,1500.0,1,0
Downtown Forty Nine,"Soi Raruen Chit, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,6290000.0,A cheap pet-friendly condo in Bangkok for sale is available now,"this pet-friendly Bangkok condo features a pool view
this Bangkok features a balcony of good size
1-bedroom
1-bathroom
the balcony of a good size
area: 44.5 sqm
facing direction: North
low floor: low-rise Bangkok condominium
fully furnished
fully equipped kitchen
full set of electrical appliances
foreign freehold quota is available",167071.0,0.0,9.83,4.7,10.29,1.0,1.0,44.5,8.0,2.0,2013.0,1,1,1,1,1,0,1,1,0,0,0,0,1900.0,4100.0,0,0
The XXXIX by Sansiri,"Sukhumvit 39, Khlong Tan Nuea, Watthana, Bangkok 10110",Watthana,22433619.0,"The XXXIX By Sansiri Sukhumvit 39 is a luxury condo for sale located near Emquartier. It was built in 2015 by Sansiri PCL
This luxury condominium comprises a single building, having 166 apartments on 32 floors.
Developer: Sansiri PCL, also known as a developer behind 39 By Sansiri – Luxury Condominium Near BTS Phrom Phong, The Monument Thong Lo Luxury Condominium, Siri at Sukhumvit Condominium near BTS Thong Lo, Siri On 8 Condominium Near Nana BTS, Siri Residence Condominium Near BTS Phrom Phong, and many others.",Facility management features high standards.,314149.0,0.0,1.12,4.09,8.4,1.0,1.0,96.48,32.0,1.0,2015.0,1,1,1,1,1,1,1,1,1,0,0,1,410.0,3200.0,1,0
D.S. Tower 1 Sukhumvit 33,"31 Soi Phrom Chit, Khwaeng Khlong Tan Nuea, Khet Watthana",Watthana,16500000.0,This large Bangkok apartment with a greenery view is available now in D.S. Tower 1 condominium on Sukhumvit 33,"this large Bangkok apartment features a greenery view with lots of wind and light
large living area
3-bedroom
2-bathroom
maids’ quarter
2 balconies
large area: 200 sqm
2 fixed car parking slots
lower floor: 10-
facing direction: North and East with a pool view
fully furnished
separated and fully equipped kitchen
full set of electrical appliances
foreign freehold ownership quota",92151.0,0.0,2.22,3.33,-5.54,3.0,2.0,200.0,38.0,2.0,1990.0,1,1,1,1,1,0,1,0,0,1,0,0,890.0,2600.0,1,0
Condolette Midst Rama 9,"Thanon Phra Ram 9 Frontage, Khwaeng Huai Khwang, Khet Huai Khwang",Huai Khwang,4250000.0,"This Bangkok condo near MRT Rama 9 station is available in Condolette Midst Rama 9 condominium
This flat is fully furnished with a modern style","this cheap Bangkok condo is located on a high floor and features a nice unblocked view
1 bedroom
1 bathroom
balcony
area: 28.23 sqm
facing direction: East
fixed parking slot
located on the high floor: 20+
fully furnished
open and equipped kitchen
full set of electrical appliances, including flat TV, refrigerator, washing machine, microwave
foreign freehold quota is available",154468.0,0.0,-8.7,4.22,-8.12,1.0,1.0,28.23,30.0,1.0,2015.0,1,1,1,1,1,1,1,1,1,1,1,1,460.0,250.0,1,1
Omni Tower Sukhumvit Nana,"71 Sukhumvit 4, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,4500000.0,This condo with a balcony is available now in Omni Tower Sukhumvit Nana condominium on Sukhumvit 4,"good-sized living room
1-bedroom
1-bathroom
balcony
high floor: 20+
facing direction: North with a nice panoramic view
kitchen with a sliding door - can be closed
partly furnished
TV and refrigerator
foreign freehold quota is available",61005.0,0.0,9.07,5.84,3.13,1.0,1.0,62.22,34.0,1.0,,1,1,1,1,1,1,1,0,0,1,0,1,450.0,740.0,1,1
MARQUE Sukhumvit,"713 Sukhumvit Rd, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,50033070.0,"Marque Sukhumvit Phrom Phong super-luxury condo for sale in Bangkok was built by Major Development PCL in 2017
This super-luxury condo on Sukhumvit near BTS Phrom Phong comprises a single building, having 147 luxury apartments on 50 floors.","Only 147 units on over 3 rais or 5,000 square meters of land; 4 units per floor on regular floors and just 2 units per floor on penthouse floors.
Every unit features 3 to 3.4 meters high ceilings so residents can enjoy the feeling of space.
The ‘Metropolitan Luxe’ interior style of each unit showcases materials and fittings of the highest quality, with the greatest attention paid to every detail.
Every unit has a large living and dining area, powder room, and its own yard.
A terrace for the master bedroom and a private plunge pool are provided in selected units while penthouse units feature a swimming pool",377696.0,0.0,3.67,3.39,-2.2,1.0,1.0,163.65,50.0,1.0,2016.0,1,1,1,1,1,0,1,1,0,0,1,0,100.0,3000.0,1,0
The Address Asoke,"Phetchaburi Road, Khwaeng Makkasan, Khet Ratchathewi",Watthana,6900000.0,This Bangkok apartment near MRT is available now in The Address Asoke luxury condominium near Makkasan Airport Railink,"1-bedroom
1-bathroom
balcony
area: 45 sqm
high floor: 25+
fully and nicely furnished
bathroom with bathtub/jacuzzi
build-in wardrobe
fully equipped separated kitchen
full set of electrical appliances
foreign freehold ownership quota is available",156451.0,0.0,-0.38,4.48,5.99,1.0,1.0,45.0,44.0,1.0,2012.0,1,1,1,1,1,1,1,1,1,0,0,0,220.0,800.0,1,1
City Lakes Tower Sukhumvit 16,"11/4 Ratchadaphisek Rd, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,31356420.0,"City Lakes Tower Sukhumvit 16 condo for sale near BTS Asoke and near MRT Sukhumvit was completed in 1992.
 Even though it's an older apartment building, City Lakes Tower Sukhumvit 16 was fully renovated recently and maintained nicely. The renovation also included more modern elevators, electricity, and a water system.
City Lakes Tower Sukhumvit 16 condominium comprises one building, having 54 large apartments on 28 floors.
Apartments range from 2-bedroom to 4-bedroom. All flats feature bigger sizes than most of the condominiums in the Asoke and Sukhumvit area, making this project popular for families that have children and working in Bangkok Central Business District (CBD).
Facilities at this Bangkok condo for sale on Sukhumvit 16","elevator
parking
24-hours security
CCTV
swimming pool
sauna
gym
snooker room",98694.0,0.0,0.0,3.98,2.19,1.0,1.0,339.83,28.0,1.0,1992.0,1,1,1,1,1,1,1,0,0,0,0,0,470.0,1800.0,1,0
BEATNIQ Sukhumvit 32,"21-58 Sukhumvit Rd, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,24900000.0,This modern new condo near BTS Thonglor is available now in the luxury Beatniq Sukhumvit 32 condominium in Bangkok CBD,"this luxury condo is very well maintained - like a new
2-bedroom
1-bathroom
balcony
low floor
facing direction: East with an unblocked view of Bangkok
fully furnished: stylish modern
open and fully equipped kitchen
full set of electrical appliances",311573.0,0.0,9.72,4.38,16.6,2.0,1.0,82.85,34.0,1.0,2018.0,1,1,1,1,1,1,1,1,0,0,0,1,500.0,3000.0,1,0
The Emporio Place,"Soi Kasem, Khlong Tan, Khlong Toei, Bangkok 10110",Khlong Toei,7500000.0,This Sukhumvit 24 property is available now in The Emporio Place condominium in Phrom Phong,"this condo features a Japanese-style interior design
this condo is a corner unit
1-bedroom
1-bathroom
area: 48.4 sqm
low-floor: 10-
car parking slot
facing direction: North
fully furnished
open kitchen: fully equipped
full set of electrical appliances
foreign freehold ownership quota",193647.0,0.0,3.75,4.23,6.23,1.0,1.0,48.4,42.0,3.0,2010.0,1,1,1,1,1,1,1,1,1,1,1,1,860.0,1700.0,1,0
Sukhumvit City Resort,"61 สุขุมวิท Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,4200000.0,This condo for sale in Sukhumvit 11 is available in Sukhumvit City Resort condominium in Nana in Bangkok,"this larger 1-bedroom condo is available for sale with a rental tenant
1-bedroom, 1-bathroom
47.2 sqm
High floor: 25+
fully furnished
fully equipped kitchen
full set of electrical appliances
foreign freehold ownership quota is available",107373.0,0.0,3.91,3.84,-14.0,1.0,1.0,47.2,26.0,1.0,2006.0,1,1,1,1,1,0,1,1,1,0,0,1,920.0,1100.0,1,0
Baan Ananda,"Soi Setthabut, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,37000000.0,This 3-bedroom 3-balcony condo is available now in Baan Ananda luxury low-rise condominium on Sukhumvit 61 in Ekkamai,"luxury full-sized condo
2 living rooms
3 bedrooms
4 bathrooms
3 balconies
3 facing directions: South-East, South, and North
maid's room
area: 272 sqm
2 fixed parking slots
fully and nicely furnished
fully equipped kitchen
full set of electrical appliances
the owner plans to move back overseas and wants to sell fast
foreign freehold ownership quota",142732.0,0.0,-3.82,4.3,-2.29,3.0,4.0,272.0,7.0,1.0,2007.0,1,1,1,1,1,0,1,0,0,0,0,0,960.0,2800.0,1,0
Fullerton Sukhumvit,"43 Sukhumvit Rd, Khwaeng Khlong Tan Nuea, Khet Watthana",Khlong Toei,44616273.0,"Fullerton Sukhumvit Thonglor is a pet-friendly condo for sale in Bangkok near BTS Thong Lo that was developed by Major Development PCL in 2006.
This Bangkok condominium on Sukhumvit Road comprises one building, having 139 apartments on 37 floors.
This Bangkok condo is pet-friendly: allows small and medium pets.
Apartment types","2-bedroom: 95 - 170 sqm
3-bedroom: 130 - 300 sqm
4-bedroom: 160 320 sqm",174480.0,0.0,3.36,4.18,3.58,1.0,1.0,345.97,,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
LAKE AVENUE Sukhumvit 16,"1 Soi Sukhumvit 16, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,7500000.0,This large apartment near BTS Asoke is available in Lake Avenue condominium on Sukhumvit 16 in Bangkok CBD,"large apartment
1-bedroom
2-bathroom
a very large balcony
large area: 90.2 sqm
low floor: 10-
car parking slot
fully furnished
open and fully equipped kitchen
full set of electrical appliances: flat TV, refrigerator, washing machine, microwave
foreign freehold ownership quota is available",107356.0,0.0,6.62,4.25,-2.56,1.0,2.0,90.2,,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,850.0,2200.0,1,0
RHYTHM Ekkamai,"50/2 Soi Sukhumvit 63 Road, Khwaeng Phra Khanong Nuea, Khet Watthana",Watthana,8214368.0,"Rhythm Ekkamai Sukhumvit 63 condo for sale in Bangkok near BTS was developed by AP (Thailand) PCL and completed in 2018.
AP Thailand is also known as the developer behind Rhythm Asoke, Citisamrt, and many other Bangkok condominiums.
The condominium comprises a single building, having 326 apartments on 32 floors.
Apartment types","studio: 30 sqm
1-bedroom: 35 sqm
2-bedroom: 70 sqm",217476.0,0.0,-0.09,4.51,-1.68,1.0,1.0,51.76,32.0,1.0,2018.0,1,1,1,1,1,1,1,1,0,0,0,1,430.0,2300.0,1,0
Supalai Oriental Sukhumvit 39,"153 Soi Phetchaburi 38/1, Khwaeng Khlong Tan Nuea, Khet Watthana",Watthana,11348563.0,"Supalai Oriental Sukhumvit 39 condo for sale in Phrom Phong in Bangkok was built by Supalai PCL in 2020.
This high-rise high-end Bangkok condo for sale in Phrom Phong comprises 4 buildings having 1,046 apartments and 6 shops:","Tower A: 25 story
Tower B: 25 story
Tower C: 35 story
Tower D: 35 story
Parking slot and clubhouse: 8+1 story
Total project area: 10-1-29 Rais
Green area: more than 50%
Parking space: 100% coverage",151411.0,0.0,22.68,4.72,16.67,1.0,1.0,101.41,35.0,4.0,2020.0,1,1,1,1,1,1,1,1,1,0,0,0,1400.0,1900.0,0,0
Circle Rein Sukhumvit 12,"67 Soi Suk Chai, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,7415683.0,"Circle Rein Sukhumvit 12 condo for sale near BTS Asoke was built in 2018 by Fragrant Property PCL.
Circle Rein Sukhumvit 12 is a low-rise Bangkok apartment building (8-floors) located on Sukhumvit 12, close to BTS Asoke.
Circle Rein Sukhumvit 12 was built for ""Energy saving"" and ""environmental protection"". It also features multifunction furniture that can be used in various forms and meet the needs of living in the city.
Circle Rein Sukhumvit 12 in words ""Rein"" in German. Consequently, the concept of this project is focused on simple, modern, and balanced design, along with facilities within and outside the project.
Apartment types","1-bedroom: 30-46 sqm
2-bedroom: 66-75 sqm",164848.0,0.0,0.61,3.97,15.68,1.0,1.0,61.38,8.0,1.0,2016.0,1,1,1,1,1,0,1,1,0,0,0,0,280.0,1100.0,1,0
Le Raffine Sukhumvit 24,"53, 2 Sukhumvit 24 Alley, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,41938916.0,"Le Raffine Sukhumvit 24 condo for sale in Bangkok was built in 2005.
Le Raffine Sukhumvit 24 is a 30-story project with only 54 large apartments - luxury duplexes.
Developer: Le Raffine 24 Co., Ltd, also known as the developer behind Le Raffine Jambu Dvipa Sukhumvit 39 Luxury Condominium in Phrom Phong and Le Raffine Jambunuda Sukhumvit 31.
Each apartment features a private infinity swimming pool.
Facilities at Le Raffine Sukhumvit 24 condo for sale in Bangkok","security with CCTV and guards
keycard door access
parking
elevators
swimming pool
fitness/gym
sauna
garden
kids’ playground
meeting room
WiFi in the public area",155555.0,0.0,-7.0,2.71,-1.4,1.0,1.0,424.77,30.0,1.0,2005.0,1,1,1,1,1,0,1,0,0,0,0,1,760.0,,1,0
The Capital Ekamai-Thonglor,"2898 New Petchaburi Rd, Khwaeng Bang Kapi, Khet Huai Khwang",Watthana,31950000.0,This unique condo with a private terrace is available now on a high floor at The Capital Ekamai-Thonglor condominium on Phetchaburi Road in Bangkok,"good-sized living room with access to a private terrace
2-bedroom - master bedroom features a very good size
2-bathroom
huge balcony - terrace with an amazing panoramic view
high floor: 20+
facing direction: North-East
2 car parking lots
fully equipped kitchen
fully furnished
full set of electrical appliances",132282.0,0.0,-7.7,4.66,-14.9,2.0,2.0,168.85,27.0,1.0,2015.0,1,1,1,1,1,0,1,1,0,0,0,1,2700.0,2100.0,0,0
The Sukhothai Residences,"Soi Sathon 1, Lane 1, Khwaeng Thung Maha Mek, Khet Sathon",Sathon,43000000.0,This luxury Bangkok apartment is available now in Sukhothai Residences near Lumpini Park,"this luxury Bangkok condo is available for sale with a tenant (rented to a European family until 2024)
large living room
the balcony of a good size with an amazing panoramic view of Bangkok
2-bedroom
2-bathroom
fixed car parking lot
high floor: 20 or higher
condition - like new
fully furnished - luxury style
open and fully equipped kitchen
full set of electrical appliances
foreign freehold quota is available",345959.0,0.0,0.68,3.21,3.47,2.0,2.0,122.0,41.0,1.0,2010.0,1,1,1,1,1,1,1,1,1,1,1,1,1900.0,2500.0,0,0
The Address Sukhumvit 42,"Soi Barbot 1, Khwaeng Phra Khanong, Khet Khlong Toei",Khlong Toei,5000000.0,Bangkok condo with rental potential near BTS Ekkamai is available now for sale.,"this Bangkok condo is located near BTS Ekkamai - an area popular with Japanese and Korean tenants
1-bedroom
1-bathroom
balcony
area: 45 sqm
low floor - low-rise building
facing direction: North-West
fully furnished
open and fully equipped kitchen
full set of electrical appliances
foreign freehold quota is available",107073.0,0.0,-3.71,5.47,18.73,1.0,1.0,45.0,8.0,2.0,2009.0,1,1,1,1,1,1,1,1,0,0,0,1,360.0,1700.0,1,0
The Seed Musee,"โทร. 1739 :ซอยสุขุมวิท 26 แขวงคลองตัน Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,5500000.0,This condo in Prompong with 1 bedroom is available now in The Seed Mussee condominium on SUkhumvit 26,"nice condo with an unblocked greenery view
1-bedroom
1-bathroom
balcony
area: 44 sqm
located in a low-rise building
facing direction: North
car parking slot: fixed
fully furnished
open and equipped kitchen
full set of electrical appliances
foreign freehold ownership quota",138227.0,7.49,4.48,5.29,15.56,1.0,1.0,44.0,8.0,1.0,2009.0,1,1,1,1,1,1,1,1,0,1,1,1,730.0,2500.0,1,0
The Address Sukhumvit 28,"Bannasan, Khlong Tan, Khlong Toei, Bangkok 10110",Khlong Toei,14500000.0,This condo near Emquartier for sale is available now in The Address Sukhumvit 28 condominium.,"2 bedrooms
2 bathrooms
balcony
1 fixed parking slot
area: 72 sqm
high floor (25+) - nice city view
Fully furnished
Fully equipped kitchen
Full set of electrical appliances",224453.0,0.0,2.18,4.46,7.05,2.0,2.0,72.0,31.0,1.0,2011.0,1,1,1,1,1,1,1,1,1,0,0,1,410.0,2700.0,1,0
